DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH,Rate
1,76,BLC,0.045989275999999996
1,77,BLC,0.050893531
1,78,BLC,0.056460105999999996
1,79,BLC,0.062043785
1,80,BLC,0.061321424000000006
1,81,BLC,0.067964099
1,82,BLC,0.075326346
1,83,BLC,0.083486111
1,84,BLC,0.092529788
1,85,BLC,0.102553125
1,86,BLC,0.159914348
1,1,OBL,0.0033402840000000002
1,2,OBL,0.000279418
1,3,OBL,0.00018878
1,4,OBL,0.00013727799999999998
1,5,OBL,0.000212474
1,6,OBL,0.000286458
1,7,OBL,0.000280905
1,8,OBL,0.00027048400000000003
1,9,OBL,0.000200328
1,10,OBL,0.00013135
1,11,OBL,0.00012120100000000001
1,12,OBL,0.000130588
1,13,OBL,0.000146175
1,14,OBL,0.00016397
1,15,OBL,0.000180843
1,16,OBL,0.000206984
1,17,OBL,0.000307542
1,18,OBL,0.000463674
1,19,OBL,0.000519024
1,20,OBL,0.000467829
1,21,OBL,0.000441796
1,22,OBL,0.000445355
1,23,OBL,0.00039529699999999997
1,24,OBL,0.000402615
1,25,OBL,0.000382061
1,26,OBL,0.00029419900000000003
1,27,OBL,0.000309665
1,28,OBL,0.000347837
1,29,OBL,0.00037624800000000003
1,30,OBL,0.000406294
1,31,OBL,0.00044752400000000003
1,32,OBL,0.00048365800000000004
1,33,OBL,0.00056384
1,34,OBL,0.000672933
1,35,OBL,0.000782405
1,36,OBL,0.0008811960000000001
1,37,OBL,0.000900182
1,38,OBL,0.0009728919999999999
1,39,OBL,0.001030387
1,40,OBL,0.001226937
1,41,OBL,0.0014072179999999998
1,42,OBL,0.001506985
1,43,OBL,0.001662885
1,44,OBL,0.0017000589999999999
1,45,OBL,0.0020800289999999997
1,46,OBL,0.002510521
1,47,OBL,0.0026796999999999997
1,48,OBL,0.003057455
1,49,OBL,0.0034804590000000004
1,50,OBL,0.00337766
1,51,OBL,0.003640232
1,52,OBL,0.004433514
1,53,OBL,0.0050828390000000005
1,54,OBL,0.006194815
1,55,OBL,0.007190398000000001
1,56,OBL,0.008030739
1,57,OBL,0.009096205
1,58,OBL,0.009983621
1,59,OBL,0.010491736000000002
1,60,OBL,0.011488953
1,61,OBL,0.0129369
1,62,OBL,0.014037131999999999
1,63,OBL,0.014790803
1,64,OBL,0.014787288
1,65,OBL,0.016530782
1,66,OBL,0.019996426
